ac_no,ac_name,reservation,is_reserved,ac_name_2021,ac_name_2026,district,region
1,MEKLIGANJ,SC,1,Mekliganj,MEKLIGANJ (SC),Cooch Behar,North Bengal
2,MATHABHANGA,SC,1,Mathabhanga,MATHABHANGA (SC),Cooch Behar,North Bengal
3,COOCHBEHAR UTTAR,SC,1,COOCHBEHAR UTTAR,COOCHBEHAR UTTAR (SC),Cooch Behar,North Bengal
4,COOCHBEHAR DAKSHIN,GEN,0,Coochbehar Dakshin,COOCHBEHAR DAKSHIN,Cooch Behar,North Bengal
5,SITALKUCHI,SC,1,Sitalkuchi,SITALKUCHI (SC),Cooch Behar,North Bengal
6,SITAI,SC,1,Sitai,SITAI (SC),Cooch Behar,North Bengal
7,DINHATA,GEN,0,Dinhata,DINHATA,Cooch Behar,North Bengal
8,NATABARI,GEN,0,Natabari,NATABARI,Cooch Behar,North Bengal
9,TUFANGANJ,GEN,0,Tufanganj,TUFANGANJ,Cooch Behar,North Bengal
10,KUMARGRAM,ST,1,Kumargram,KUMARGRAM (ST),Alipurduar,North Bengal
11,KALCHINI,ST,1,Kalchini,KALCHINI (ST),Alipurduar,North Bengal
12,ALIPURDUARS,GEN,0,Alipurduars,ALIPURDUARS,Alipurduar,North Bengal
13,FALAKATA,SC,1,Falakata,FALAKATA (SC),Alipurduar,North Bengal
14,MADARIHAT,ST,1,Madarihat,MADARIHAT (ST),Alipurduar,North Bengal
15,DHUPGURI,SC,1,Dhupguri,DHUPGURI (SC),Jalpaiguri,North Bengal
16,MAYNAGURI,SC,1,Maynaguri,MAYNAGURI (SC),Jalpaiguri,North Bengal
17,JALPAIGURI,SC,1,Jalpaiguri,JALPAIGURI (SC),Jalpaiguri,North Bengal
18,RAJGANJ,SC,1,Rajganj,RAJGANJ (SC),Jalpaiguri,North Bengal
19,DABGRAM-FULBARI,GEN,0,Dabgram-Fulbari,DABGRAM-FULBARI,Jalpaiguri,North Bengal
20,MAL,ST,1,Mal,MAL (ST),Jalpaiguri,North Bengal
21,NAGRAKATA,ST,1,Nagrakata,NAGRAKATA (ST),Jalpaiguri,North Bengal
22,KALIMPONG,GEN,0,Kalimpong,KALIMPONG,Kalimpong,North Bengal
23,DARJEELING,GEN,0,Darjeeling,DARJEELING,Darjeeling,North Bengal
24,KURSEONG,GEN,0,Kurseong,KURSEONG,Darjeeling,North Bengal
25,MATIGARA-NAXALBARI,SC,1,Matigara-Naxalbari,MATIGARA-NAXALBARI (SC),Darjeeling,North Bengal
26,SILIGURI,GEN,0,Siliguri,SILIGURI,Darjeeling,North Bengal
27,PHANSIDEWA,ST,1,Phansidewa,PHANSIDEWA (ST),Darjeeling,North Bengal
28,CHOPRA,GEN,0,Chopra,CHOPRA,Uttar Dinajpur,North Bengal
