year,ac_no,total_electors,votes_polled,turnout_pct
2021,1,226465,198744,87.76
2021,2,248022,214203,86.36
2021,3,282988,243916,86.19
2021,4,233839,195505,83.61
2021,5,285260,245966,86.23
2021,6,290568,238578,82.11
2021,7,299251,243751,81.45
2021,8,245040,217173,88.63
2021,9,234311,209378,89.36
2021,10,272924,232489,85.18
2021,11,247425,195815,79.14
2021,12,260652,222732,85.45
2021,13,254554,220500,86.62
2021,14,212651,166920,78.49
2021,15,263118,229323,87.16
2021,16,264265,236093,89.34
2021,17,262500,225933,86.07
2021,18,244163,215755,88.37
2021,19,310354,258969,83.44
2021,20,255570,213255,83.44
2021,21,237305,191169,80.56
2021,22,211896,154863,73.08
2021,23,246663,168575,68.34
2021,24,236477,175545,74.23
2021,25,287565,240591,83.66
2021,26,228406,178650,78.22
2021,27,240496,207590,86.32
2021,28,247764,204110,82.38
2021,29,219728,169974,77.36
2021,30,224633,161535,71.91
2021,31,233378,173400,74.3
2021,32,262583,213136,81.17
2021,33,265318,223301,84.16
2021,34,282575,239726,84.84
2021,35,198780,161347,81.17
2021,36,229362,193986,84.58
2021,37,219921,184075,83.7
2021,38,203986,170928,83.79
2021,39,180390,152092,84.31
2021,40,220236,186309,84.6
2021,41,224040,189482,84.58
2021,42,228189,187642,82.23
2021,43,249557,197989,79.34
2021,44,267096,221214,82.82
2021,45,249402,199679,80.06
2021,46,252487,203153,80.46
2021,47,231907,185484,79.98
2021,48,282451,219148,77.59
2021,49,253353,206991,81.7
2021,50,245962,206489,83.95
2021,51,275296,215675,78.34
2021,52,196324,163143,83.1
2021,53,251186,207591,82.64
2021,54,246956,208652,84.49
2021,55,227549,186424,81.93
2021,56,235576,188582,80.05
2021,57,265418,216328,81.5
2021,58,255064,198263,77.73
2021,59,249559,190478,76.33
2021,60,236885,186816,78.86
2021,61,234381,190438,81.25
2021,62,263765,225990,85.68
2021,63,256101,222016,86.69
2021,64,268221,229231,85.46
2021,65,251378,208516,82.95
2021,66,228923,185936,81.22
2021,67,217500,176803,81.29
2021,68,238973,186481,78.03
2021,69,243603,189047,77.6
2021,70,259771,210445,81.01
2021,71,252944,204511,80.85
2021,72,260667,197607,75.81
2021,73,247421,216075,87.33
2021,74,247688,202349,81.7
2021,75,266283,226183,84.94
2021,76,261258,222167,85.04
2021,77,251039,221506,88.24
2021,78,252454,218109,86.4
2021,79,244867,203385,83.06
2021,80,248358,209379,84.31
2021,81,247691,209570,84.61
2021,82,248014,213175,85.95
2021,83,238220,201805,84.71
2021,84,243159,210589,86.61
2021,85,225118,195685,86.93
2021,86,255619,219692,85.95
2021,87,265846,223193,83.96
2021,88,273728,231938,84.73
2021,89,264929,214736,81.05
2021,90,285180,241687,84.75
2021,91,245514,212064,86.38
2021,92,257683,220338,85.51
2021,93,240606,210874,87.64
2021,94,277464,218791,78.85
2021,95,251387,205175,81.62
2021,96,248278,207834,83.71
2021,97,252053,213243,84.6
2021,98,246109,211804,86.06
2021,99,243747,212883,87.34
2021,100,242425,204171,84.22
2021,101,257180,216724,84.27
2021,102,242462,211742,87.33
2021,103,192316,139096,72.33
2021,104,193930,156468,80.68
2021,105,154037,107197,69.59
2021,106,233871,181287,77.52
2021,107,262153,192634,73.48
2021,108,215356,148249,68.84
2021,109,232619,183147,78.73
2021,110,273015,213149,78.07
2021,111,230748,174356,75.56
2021,112,197103,144310,73.22
2021,113,217774,160259,73.59
2021,114,247858,185334,74.77
2021,115,289075,234906,81.26
2021,116,243360,162035,66.58
2021,117,257447,178723,69.42
2021,118,272397,230431,84.59
2021,119,279592,225707,80.73
2021,120,242652,214380,88.35
2021,121,259206,227395,87.73
2021,122,236528,212352,89.78
2021,123,238633,205787,86.24
2021,124,275934,235737,85.43
2021,125,268034,238426,88.95
2021,126,228508,194681,85.2
2021,127,230348,195808,85.01
2021,128,260681,213910,82.06
2021,129,265561,227351,85.61
2021,130,263675,231786,87.91
2021,131,247826,219597,88.61
2021,132,274715,239067,87.02
2021,133,220144,193130,87.73
2021,134,273558,238720,87.26
2021,135,229129,199490,87.06
2021,136,239968,202431,84.36
2021,137,265091,225114,84.92
2021,138,257681,218354,84.74
2021,139,262349,232766,88.72
2021,140,253749,211293,83.27
2021,141,242530,206153,85.0
2021,142,229437,194282,84.68
2021,143,255132,225397,88.35
2021,144,236768,207932,87.82
2021,145,270193,235546,87.18
2021,146,278650,237570,85.26
2021,147,288263,232807,80.76
2021,148,271897,242185,89.07
2021,149,306266,223154,72.86
2021,150,299818,215419,71.85
2021,151,300330,240495,80.08
2021,152,269713,197365,73.18
2021,153,308285,221872,71.97
2021,154,313198,231816,74.02
2021,155,271007,219969,81.17
2021,156,256136,216892,84.68
2021,157,256315,196582,76.7
2021,158,235933,152443,64.61
2021,159,206389,127376,61.72
2021,160,206013,124455,60.41
2021,161,247662,150962,60.95
2021,162,208201,111493,53.55
2021,163,230814,156874,67.97
2021,164,250881,158506,63.18
2021,165,197950,98955,49.99
2021,166,176557,102970,58.32
2021,167,211308,132967,62.93
2021,168,223714,134872,60.29
2021,169,176197,125873,71.44
2021,170,218547,149720,68.51
2021,171,266542,195144,73.21
2021,172,233676,182219,77.98
2021,173,294243,216940,73.73
2021,174,277076,222127,80.17
2021,175,266183,217009,81.53
2021,176,233764,193021,82.57
2021,177,224423,185780,82.78
2021,178,237620,202266,85.12
2021,179,257593,221889,86.14
2021,180,231216,199935,86.47
2021,181,261881,208810,79.73
2021,182,235467,198211,84.18
2021,183,288158,235721,81.8
2021,184,299250,250978,83.87
2021,185,259814,199894,76.94
2021,186,252758,188081,74.41
2021,187,263372,201131,76.37
2021,188,246867,209938,85.04
2021,189,229572,182178,79.36
2021,190,314274,254737,81.06
2021,191,258955,219957,84.94
2021,192,270503,223664,82.68
2021,193,234840,192190,81.84
2021,194,263257,207106,78.67
2021,195,257025,210411,81.86
2021,196,269649,220774,81.87
2021,197,271518,233838,86.12
2021,198,239820,205917,85.86
2021,199,259988,223074,85.8
2021,200,257621,219960,85.38
2021,201,246570,219545,89.04
2021,202,277259,217991,78.62
2021,203,266881,236031,88.44
2021,204,236306,198400,83.96
2021,205,274092,234141,85.42
2021,206,255164,224434,87.96
2021,207,253829,227275,89.54
2021,208,245266,219355,89.44
2021,209,251051,220823,87.96
2021,210,257999,228405,88.53
2021,211,245775,220327,89.65
2021,212,236413,208827,88.33
2021,213,257427,228416,88.73
2021,214,254184,222650,87.59
2021,215,238630,212621,89.1
2021,216,224657,194681,86.66
2021,217,264900,222060,83.83
2021,218,284614,240817,84.61
2021,219,233841,197798,84.59
2021,220,226791,192354,84.82
2021,221,226417,199070,87.92
2021,222,236035,201797,85.49
2021,223,238835,212681,89.05
2021,224,234672,171385,73.03
2021,225,243832,217750,89.3
2021,226,264783,236201,89.21
2021,227,255054,228669,89.66
2021,228,227081,200044,88.09
2021,229,234184,204866,87.48
2021,230,298096,222464,74.63
2021,231,279908,225375,80.52
2021,232,279867,249315,89.08
2021,233,232046,207681,89.5
2021,234,276940,249195,89.98
2021,235,261529,230232,88.03
2021,236,280060,238898,85.3
2021,237,224036,188798,84.27
2021,238,284840,241055,84.63
2021,239,238113,197965,83.14
2021,240,249613,206303,82.65
2021,241,249621,202767,81.23
2021,242,258947,206868,79.89
2021,243,253708,213729,84.24
2021,244,238871,194892,81.59
2021,245,243906,194021,79.55
2021,246,259434,214690,82.75
2021,247,232517,202413,87.05
2021,248,242270,196836,81.25
2021,249,253359,211170,83.35
2021,250,224604,194476,86.59
2021,251,233291,203186,87.1
2021,252,269829,217986,80.79
2021,253,250729,219452,87.53
2021,254,256906,225759,87.88
2021,255,219284,191469,87.32
2021,256,246785,224123,90.82
2021,257,242938,218453,89.92
2021,258,233059,207739,89.14
2021,259,242730,217897,89.77
2021,260,257940,205345,79.61
2021,261,258742,229166,88.57
2021,262,235973,206690,87.59
2021,263,242229,209036,86.3
2021,264,241471,208951,86.53
2021,265,254236,218802,86.06
2021,266,277026,241925,87.33
2021,267,246694,214168,86.82
2021,268,248533,215353,86.65
2021,269,252626,212343,84.05
2021,270,267738,224459,83.84
2021,271,258310,215317,83.36
2021,272,251003,217329,86.58
2021,273,246956,217080,87.9
2021,274,256642,222538,86.71
2021,275,211960,164291,77.51
2021,276,256531,192674,75.11
2021,277,269303,196902,73.12
2021,278,250813,182211,72.65
2021,279,221419,166703,75.29
2021,280,274245,194737,71.01
2021,281,275796,192907,69.95
2021,282,251671,174767,69.44
2021,283,225596,169207,75.0
2021,284,241742,204599,84.64
2021,285,263557,218590,82.94
2021,286,273896,230260,84.07
2021,287,276777,235328,85.02
2021,288,240044,212027,88.33
2021,289,255959,221866,86.68
2021,290,230682,199425,86.45
2021,291,260812,217323,83.33
