year,ac_no,nota_votes,nota_pct
2021,1,2447,1.23
2021,2,1443,0.67
2021,3,1570,0.64
2021,4,1464,0.75
2021,5,2743,1.12
2021,6,1577,0.66
2021,7,1537,0.63
2021,8,1146,0.53
2021,9,2069,0.99
2021,10,2718,1.17
2021,11,2377,1.21
2021,12,1981,0.89
2021,13,1970,0.89
2021,14,2622,1.57
2021,15,1984,0.87
2021,16,3095,1.31
2021,17,3381,1.5
2021,18,3175,1.47
2021,19,3379,1.3
2021,20,4699,2.2
2021,21,5454,2.85
2021,22,2160,1.39
2021,23,2540,1.51
2021,24,2417,1.38
2021,25,3912,1.63
2021,26,2074,1.16
2021,27,2575,1.24
2021,28,1531,0.75
2021,29,1976,1.16
2021,30,2016,1.25
2021,31,1186,0.68
2021,32,2449,1.15
2021,33,2160,0.97
2021,34,3007,1.25
2021,35,2468,1.53
2021,36,1240,0.64
2021,37,1598,0.87
2021,38,1125,0.66
2021,39,1830,1.2
2021,40,1703,0.91
2021,41,1149,0.61
2021,42,1823,0.97
2021,43,2162,1.09
2021,44,1736,0.78
2021,45,1023,0.51
2021,46,1012,0.5
2021,47,2034,1.1
2021,48,2051,0.94
2021,49,1367,0.66
2021,50,2818,1.36
2021,51,3196,1.48
2021,52,2139,1.31
2021,53,1527,0.74
2021,54,1705,0.82
2021,55,1638,0.88
2021,56,3064,1.62
2021,57,2724,1.26
2021,58,4557,2.3
2021,59,2938,1.54
2021,60,1705,0.91
2021,61,1394,0.73
2021,62,3396,1.5
2021,63,2774,1.25
2021,64,2904,1.27
2021,65,2629,1.26
2021,66,1685,0.91
2021,67,2008,1.14
2021,68,3131,1.68
2021,69,2444,1.29
2021,70,1560,0.74
2021,71,1368,0.67
2021,72,2525,1.28
2021,73,1117,0.52
2021,74,1308,0.65
2021,75,2419,1.07
2021,76,2551,1.15
2021,77,1328,0.6
2021,78,1736,0.8
2021,79,1654,0.81
2021,80,2051,0.98
2021,81,1146,0.55
2021,82,2023,0.95
2021,83,1851,0.92
2021,84,2344,1.11
2021,85,2165,1.11
2021,86,2385,1.09
2021,87,2258,1.01
2021,88,2099,0.9
2021,89,2359,1.1
2021,90,1577,0.65
2021,91,1487,0.7
2021,92,2577,1.17
2021,93,1427,0.68
2021,94,1020,0.47
2021,95,1833,0.89
2021,96,1542,0.74
2021,97,1409,0.66
2021,98,1256,0.59
2021,99,1953,0.92
2021,100,1290,0.63
2021,101,1611,0.74
2021,102,2324,1.1
2021,103,1227,0.88
