year,ac_no,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,position
2021,1,ADHIKARY PARESH CHANDRA,MALE,68.0,SC,TMC,98790,548,99338,49.98,1
2021,1,DADHIRAM RAY,MALE,38.0,SC,BJP,83991,662,84653,42.59,2
2021,1,GOBINDA CHANDRA ROY,MALE,62.0,SC,AIFB,6758,95,6853,3.45,3
2021,1,RANJIT KUMAR ROY,MALE,37.0,SC,SUCI,1761,7,1768,0.89,4
2021,1,JYOTISH ROY,MALE,71.0,SC,BSP,1019,6,1025,0.52,5
2021,1,SUBHASH BARMAN,MALE,46.0,SC,IND,953,2,955,0.48,6
2021,1,KUKIL ADHIKARY,MALE,36.0,SC,KPPU,789,5,794,0.4,7
2021,1,GOLAPI ROY,FEMALE,33.0,SC,IND,508,3,511,0.26,8
2021,1,CHINU ROY BARMAN,FEMALE,31.0,SC,AMB,396,4,400,0.2,9
2021,2,Sushil Barman,MALE,55.0,SC,BJP,112146,1103,113249,52.87,1
2021,2,Girindra Nath Barman,MALE,66.0,SC,TMC,86470,645,87115,40.67,2
2021,2,Ashok Barman,MALE,38.0,SC,CPI(M),7553,165,7718,3.6,3
2021,2,Kangsa Raj Barman,MALE,52.0,SC,KPPU,1282,7,1289,0.6,4
2021,2,Haradhan Roy,MALE,34.0,SC,IND,1166,1,1167,0.54,5
2021,2,Animesh Mohanta,MALE,40.0,SC,IND,1144,3,1147,0.54,6
2021,2,Bikash Barman,MALE,35.0,SC,SUCI,582,7,589,0.27,7
2021,2,Ratan Barman,MALE,56.0,SC,AMB,481,5,486,0.23,8
2021,3,SUKUMAR ROY,MALE,52.0,SC,BJP,118656,1827,120483,49.4,1
2021,3,BINAY KRISHNA BARMAN,MALE,60.0,SC,TMC,104823,1045,105868,43.4,2
2021,3,NAGENDRA NATH ROY,MALE,65.0,SC,AIFB,11232,243,11475,4.7,3
2021,3,ANIL CHANDRA ROY,MALE,53.0,SC,SUCI,1375,11,1386,0.57,4
2021,3,NARESH CHANDRA ROY,MALE,48.0,SC,IND,1374,5,1379,0.57,5
2021,3,SAMARESH RAY,MALE,39.0,SC,KPPU,1110,17,1127,0.46,6
2021,3,GOPAL ROY,MALE,41.0,SC,AMB,620,8,628,0.26,7
2021,4,Nikhil Ranjan Dey,MALE,63.0,GENERAL,BJP,89966,1594,91560,46.83,1
2021,4,Avijit De Bhowmik,MALE,46.0,GENERAL,TMC,85620,1009,86629,44.31,2
2021,4,Akshay Thakur,MALE,71.0,GENERAL,AIFB,9928,318,10246,5.24,3
2021,4,Rati Ranjan Paul,MALE,55.0,GENERAL,IND,1480,5,1485,0.76,4
2021,4,Khokan Majumdar,MALE,71.0,SC,BSP,1415,4,1419,0.73,5
2021,4,Nazma Khandakar,FEMALE,61.0,GENERAL,SUCI,1124,14,1138,0.58,6
2021,4,Anamika Paul,FEMALE,46.0,GENERAL,IND,728,11,739,0.38,7
2021,4,Bidhan Barma,MALE,40.0,SC,IND,493,3,496,0.25,8
2021,4,Babla Deb,MALE,33.0,GENERAL,AMB,326,3,329,0.17,9
2021,5,Baren Chandra Barman,MALE,47.0,SC,BJP,124120,835,124955,50.8,1
2021,5,Partha Pratim Ray,MALE,39.0,SC,TMC,106527,613,107140,43.56,2
2021,5,Sudhangshu Pramanik,MALE,42.0,SC,CPI(M),6622,98,6720,2.73,3
2021,5,Hare Krishna Sarkar,MALE,49.0,SC,IND,2018,0,2018,0.82,4
2021,5,Manik Chandra Barman,MALE,40.0,SC,KPPU,970,6,976,0.4,5
2021,5,Kamal Barman,MALE,52.0,SC,AMB,719,2,721,0.29,6
2021,5,Jagadish Adhikari,MALE,50.0,SC,SUCI,691,2,693,0.28,7
2021,6,JAGADISH CHANDRA BARMA BASUNIA,MALE,57.0,SC,TMC,116850,1058,117908,49.42,1
2021,6,DIPAK KUMAR ROY,MALE,55.0,SC,BJP,106723,1073,107796,45.18,2
2021,6,KESHAB CHANDRA RAY,MALE,68.0,SC,INC,3900,64,3964,1.66,3
2021,6,SUNIL MAHANTA,MALE,52.0,SC,IND,2387,4,2391,1.0,4
2021,6,LALCHAND BARMAN,MALE,66.0,SC,IND,1773,3,1776,0.74,5
2021,6,ANIL CHANDRA BARMAN ROY,MALE,62.0,SC,SUCI,1371,10,1381,0.58,6
2021,6,KASHIKANTA BARMAN,MALE,56.0,SC,IND,862,4,866,0.36,7
2021,6,PROSHANTA BARMAN,MALE,27.0,SC,LJP,548,2,550,0.23,8
2021,6,PRASANNA KUMAR ROY,MALE,68.0,SC,AMB,364,5,369,0.15,9
2021,7,NISITH PRAMANIK,MALE,35.0,SC,BJP,114361,1674,116035,47.6,1
2021,7,UDAYAN GUHA,MALE,66.0,GENERAL,TMC,114887,1091,115978,47.58,2
2021,7,ABDUR ROUF,MALE,54.0,GENERAL,AIFB,5916,153,6069,2.49,3
2021,7,LEBU MIYAN,MALE,37.0,GENERAL,IND,1386,1,1387,0.57,4
2021,7,PRADIP ROY,MALE,45.0,SC,SUCI,1364,11,1375,0.56,5
2021,7,NIRMAL CHANDRA BARMAN,MALE,44.0,SC,IND,1361,9,1370,0.56,6
2021,8,Mihir Goswami,MALE,67.0,GENERAL,BJP,110020,1723,111743,51.45,1
2021,8,Rabindra Nath Ghosh,MALE,65.0,GENERAL,TMC,87098,1205,88303,40.66,2
2021,8,Akik Hassan,MALE,31.0,GENERAL,CPI(M),11584,255,11839,5.45,3
2021,8,Sahidul Hossain,MALE,45.0,GENERAL,IND,1338,3,1341,0.62,4
2021,8,Abdus Salam,MALE,41.0,GENERAL,SUCI,1178,8,1186,0.55,5
2021,8,Dalendra Nath Ray,MALE,66.0,SC,AMB,1103,7,1110,0.51,6
2021,8,Ekramul Hoque,MALE,34.0,GENERAL,UTSAP,500,5,505,0.23,7
2021,9,Malati Rava Roy,FEMALE,56.0,SC,BJP,112609,1894,114503,54.69,1
2021,9,Pranab Kumar Dey,MALE,60.0,GENERAL,TMC,82546,759,83305,39.79,2
2021,9,Rabin Roy,MALE,67.0,SC,INC,5804,169,5973,2.85,3
2021,9,Sushil Chandra Das,MALE,54.0,SC,IND,1458,3,1461,0.7,4
2021,9,Prahallad Layek,MALE,40.0,SC,IND,600,1,601,0.29,5
2021,9,Dhananjay Barman,MALE,42.0,SC,IND,541,11,552,0.26,6
2021,9,Bhola Saha,MALE,58.0,GENERAL,SUCI,481,10,491,0.23,7
2021,9,Jiban Kumar Saha,MALE,66.0,GENERAL,AMB,422,1,423,0.2,8
2021,10,MANOJ KUMAR ORAON,MALE,41.0,ST,BJP,110658,1316,111974,48.16,1
2021,10,LEOS KUJUR (URAO),MALE,46.0,ST,TMC,100009,964,100973,43.43,2
2021,10,KISHOR MINJ,MALE,37.0,ST,RSP,11100,153,11253,4.84,3
2021,10,Aron Murmu,MALE,26.0,ST,IND,1774,7,1781,0.77,4
2021,10,Shrilal Oron,MALE,43.0,ST,KPPU,1643,8,1651,0.71,5
2021,10,KALAWATI CHIK BARAIK,FEMALE,44.0,ST,JD(U),1381,18,1399,0.6,6
2021,10,Shailen Marandi,MALE,37.0,ST,BMUP,735,5,740,0.32,7
2021,11,BISHAL LAMA,MALE,39.0,ST,BJP,102247,857,103104,52.65,1
2021,11,PASSANG LAMA,MALE,48.0,ST,TMC,73896,632,74528,38.06,2
2021,11,AVIJIT NARJINARY,MALE,48.0,ST,INC,5386,96,5482,2.8,3
2021,11,BINAY NARJINARY,MALE,42.0,ST,IND,2416,9,2425,1.24,4
2021,11,REKHA LAKRA (EKKA),FEMALE,41.0,ST,IND,2242,9,2251,1.15,5
2021,11,PRAKASH KUJUR,MALE,67.0,ST,IND,1858,11,1869,0.95,6
2021,11,CHANCHAL NARJINARY,MALE,30.0,ST,LJP,1163,1,1164,0.59,7
2021,11,SUKUMAR MINJ,MALE,39.0,ST,IND,907,3,910,0.46,8
2021,11,ASHOK LAMA,MALE,50.0,ST,NPEP,794,9,803,0.41,9
2021,11,HAKIM MAHALI,MALE,36.0,ST,BMUP,475,4,479,0.24,10
2021,11,MADAN KUMAR URAON,MALE,34.0,ST,JD(U),419,4,423,0.22,11
