year,ac_no,result_status
2021,1,polled
2021,2,polled
2021,3,polled
2021,4,polled
2021,5,polled
2021,6,polled
2021,7,polled
2021,8,polled
2021,9,polled
2021,10,polled
2021,11,polled
2021,12,polled
2021,13,polled
2021,14,polled
2021,15,polled
2021,16,polled
2021,17,polled
2021,18,polled
2021,19,polled
2021,20,polled
2021,21,polled
2021,22,polled
2021,23,polled
2021,24,polled
2021,25,polled
2021,26,polled
2021,27,polled
2021,28,polled
2021,29,polled
2021,30,polled
2021,31,polled
2021,32,polled
2021,33,polled
2021,34,polled
2021,35,polled
2021,36,polled
2021,37,polled
2021,38,polled
2021,39,polled
2021,40,polled
2021,41,polled
2021,42,polled
2021,43,polled
2021,44,polled
2021,45,polled
2021,46,polled
2021,47,polled
2021,48,polled
2021,49,polled
2021,50,polled
2021,51,polled
2021,52,polled
2021,53,polled
2021,54,polled
2021,55,polled
2021,56,polled
2021,57,polled
2021,58,polled
2021,59,polled
2021,60,polled
2021,61,polled
2021,62,polled
2021,63,polled
2021,64,polled
2021,65,polled
2021,66,polled
2021,67,polled
2021,68,polled
2021,69,polled
2021,70,polled
2021,71,polled
2021,72,polled
2021,73,polled
2021,74,polled
2021,75,polled
2021,76,polled
2021,77,polled
2021,78,polled
2021,79,polled
2021,80,polled
2021,81,polled
2021,82,polled
2021,83,polled
2021,84,polled
2021,85,polled
2021,86,polled
2021,87,polled
2021,88,polled
2021,89,polled
2021,90,polled
2021,91,polled
2021,92,polled
2021,93,polled
2021,94,polled
2021,95,polled
2021,96,polled
2021,97,polled
2021,98,polled
2021,99,polled
2021,100,polled
2021,101,polled
2021,102,polled
2021,103,polled
2021,104,polled
2021,105,polled
2021,106,polled
2021,107,polled
2021,108,polled
2021,109,polled
2021,110,polled
2021,111,polled
2021,112,polled
2021,113,polled
2021,114,polled
2021,115,polled
2021,116,polled
2021,117,polled
2021,118,polled
2021,119,polled
2021,120,polled
2021,121,polled
2021,122,polled
2021,123,polled
2021,124,polled
2021,125,polled
2021,126,polled
2021,127,polled
2021,128,polled
2021,129,polled
2021,130,polled
2021,131,polled
2021,132,polled
2021,133,polled
2021,134,polled
2021,135,polled
2021,136,polled
2021,137,polled
2021,138,polled
2021,139,polled
2021,140,polled
2021,141,polled
2021,142,polled
2021,143,polled
2021,144,polled
2021,145,polled
2021,146,polled
2021,147,polled
2021,148,polled
2021,149,polled
2021,150,polled
2021,151,polled
2021,152,polled
2021,153,polled
2021,154,polled
2021,155,polled
2021,156,polled
2021,157,polled
2021,158,polled
2021,159,polled
2021,160,polled
2021,161,polled
2021,162,polled
2021,163,polled
2021,164,polled
2021,165,polled
2021,166,polled
2021,167,polled
2021,168,polled
2021,169,polled
2021,170,polled
2021,171,polled
2021,172,polled
2021,173,polled
2021,174,polled
2021,175,polled
2021,176,polled
2021,177,polled
2021,178,polled
2021,179,polled
2021,180,polled
2021,181,polled
2021,182,polled
2021,183,polled
2021,184,polled
2021,185,polled
2021,186,polled
2021,187,polled
2021,188,polled
2021,189,polled
2021,190,polled
2021,191,polled
2021,192,polled
2021,193,polled
2021,194,polled
2021,195,polled
2021,196,polled
2021,197,polled
2021,198,polled
2021,199,polled
2021,200,polled
2021,201,polled
2021,202,polled
2021,203,polled
2021,204,polled
2021,205,polled
2021,206,polled
2021,207,polled
2021,208,polled
2021,209,polled
2021,210,polled
2021,211,polled
2021,212,polled
2021,213,polled
2021,214,polled
2021,215,polled
2021,216,polled
2021,217,polled
2021,218,polled
2021,219,polled
2021,220,polled
2021,221,polled
2021,222,polled
2021,223,polled
2021,224,polled
2021,225,polled
2021,226,polled
2021,227,polled
2021,228,polled
2021,229,polled
2021,230,polled
2021,231,polled
2021,232,polled
2021,233,polled
2021,234,polled
2021,235,polled
2021,236,polled
2021,237,polled
2021,238,polled
2021,239,polled
2021,240,polled
2021,241,polled
2021,242,polled
2021,243,polled
2021,244,polled
2021,245,polled
2021,246,polled
2021,247,polled
2021,248,polled
2021,249,polled
2021,250,polled
2021,251,polled
2021,252,polled
2021,253,polled
2021,254,polled
2021,255,polled
2021,256,polled
2021,257,polled
2021,258,polled
2021,259,polled
2021,260,polled
2021,261,polled
2021,262,polled
2021,263,polled
2021,264,polled
2021,265,polled
2021,266,polled
2021,267,polled
2021,268,polled
2021,269,polled
2021,270,polled
2021,271,polled
2021,272,polled
2021,273,polled
2021,274,polled
2021,275,polled
2021,276,polled
2021,277,polled
2021,278,polled
2021,279,polled
2021,280,polled
2021,281,polled
2021,282,polled
2021,283,polled
2021,284,polled
2021,285,polled
2021,286,polled
2021,287,polled
2021,288,polled
2021,289,polled
2021,290,polled
2021,291,polled
2021,292,polled
2021,293,polled
2021,294,polled
2026,1,polled
2026,2,polled
2026,3,polled
2026,4,polled
2026,5,polled
2026,6,polled
2026,7,polled
2026,8,polled
2026,9,polled
2026,10,polled
2026,11,polled
2026,12,polled
2026,13,polled
2026,14,polled
2026,15,polled
2026,16,polled
2026,17,polled
2026,18,polled
2026,19,polled
2026,20,polled
2026,21,polled
2026,22,polled
2026,23,polled
2026,24,polled
2026,25,polled
2026,26,polled
2026,27,polled
2026,28,polled
2026,29,polled
2026,30,polled
2026,31,polled
2026,32,polled
2026,33,polled
2026,34,polled
2026,35,polled
2026,36,polled
2026,37,polled
2026,38,polled
2026,39,polled
2026,40,polled
2026,41,polled
2026,42,polled
2026,43,polled
2026,44,polled
2026,45,polled
2026,46,polled
2026,47,polled
2026,48,polled
2026,49,polled
2026,50,polled
2026,51,polled
2026,52,polled
2026,53,polled
2026,54,polled
2026,55,polled
2026,56,polled
2026,57,polled
2026,58,polled
2026,59,polled
2026,60,polled
2026,61,polled
2026,62,polled
2026,63,polled
2026,64,polled
2026,65,polled
2026,66,polled
2026,67,polled
2026,68,polled
2026,69,polled
2026,70,polled
2026,71,polled
2026,72,polled
2026,73,polled
2026,74,polled
2026,75,polled
2026,76,polled
2026,77,polled
2026,78,polled
2026,79,polled
2026,80,polled
2026,81,polled
2026,82,polled
2026,83,polled
2026,84,polled
2026,85,polled
2026,86,polled
2026,87,polled
2026,88,polled
2026,89,polled
2026,90,polled
2026,91,polled
2026,92,polled
2026,93,polled
2026,94,polled
2026,95,polled
2026,96,polled
2026,97,polled
2026,98,polled
2026,99,polled
2026,100,polled
2026,101,polled
2026,102,polled
2026,103,polled
2026,104,polled
2026,105,polled
2026,106,polled
2026,107,polled
2026,108,polled
2026,109,polled
2026,110,polled
2026,111,polled
2026,112,polled
2026,113,polled
2026,114,polled
2026,115,polled
2026,116,polled
2026,117,polled
2026,118,polled
2026,119,polled
2026,120,polled
2026,121,polled
2026,122,polled
2026,123,polled
2026,124,polled
2026,125,polled
2026,126,polled
2026,127,polled
2026,128,polled
2026,129,polled
2026,130,polled
2026,131,polled
2026,132,polled
2026,133,polled
2026,134,polled
2026,135,polled
2026,136,polled
2026,137,polled
2026,138,polled
2026,139,polled
2026,140,polled
2026,141,polled
2026,142,polled
2026,143,polled
2026,144,no_poll
2026,145,polled
2026,146,polled
2026,147,polled
2026,148,polled
2026,149,polled
2026,150,polled
2026,151,polled
2026,152,polled
2026,153,polled
2026,154,polled
2026,155,polled
2026,156,polled
2026,157,polled
2026,158,polled
2026,159,polled
2026,160,polled
2026,161,polled
2026,162,polled
2026,163,polled
2026,164,polled
2026,165,polled
2026,166,polled
2026,167,polled
2026,168,polled
2026,169,polled
2026,170,polled
2026,171,polled
2026,172,polled
2026,173,polled
2026,174,polled
2026,175,polled
2026,176,polled
2026,177,polled
2026,178,polled
2026,179,polled
2026,180,polled
2026,181,polled
2026,182,polled
2026,183,polled
2026,184,polled
2026,185,polled
2026,186,polled
2026,187,polled
2026,188,polled
2026,189,polled
2026,190,polled
2026,191,polled
2026,192,polled
2026,193,polled
2026,194,polled
2026,195,polled
2026,196,polled
2026,197,polled
2026,198,polled
2026,199,polled
2026,200,polled
2026,201,polled
2026,202,polled
2026,203,polled
2026,204,polled
2026,205,polled
2026,206,polled
2026,207,polled
2026,208,polled
2026,209,polled
2026,210,polled
2026,211,polled
2026,212,polled
2026,213,polled
2026,214,polled
2026,215,polled
2026,216,polled
2026,217,polled
2026,218,polled
2026,219,polled
2026,220,polled
2026,221,polled
2026,222,polled
2026,223,polled
2026,224,polled
2026,225,polled
2026,226,polled
2026,227,polled
2026,228,polled
2026,229,polled
2026,230,polled
2026,231,polled
2026,232,polled
2026,233,polled
2026,234,polled
2026,235,polled
2026,236,polled
2026,237,polled
2026,238,polled
2026,239,polled
2026,240,polled
2026,241,polled
2026,242,polled
2026,243,polled
2026,244,polled
2026,245,polled
2026,246,polled
2026,247,polled
2026,248,polled
2026,249,polled
2026,250,polled
2026,251,polled
2026,252,polled
2026,253,polled
2026,254,polled
2026,255,polled
2026,256,polled
2026,257,polled
2026,258,polled
2026,259,polled
2026,260,polled
2026,261,polled
