year,ac_no,winner,winner_party,gender,age,category,winner_votes,runner_up,runner_up_party,runner_up_votes,win_margin,margin_pct_polled,margin_pct_electors,votes_polled,total_electors,turnout_pct
2021,1,ADHIKARY PARESH CHANDRA,TMC,MALE,68.0,SC,99338,DADHIRAM RAY,BJP,84653,14685,7.39,6.48,198744,226465,87.76
2021,2,Sushil Barman,BJP,MALE,55.0,SC,113249,Girindra Nath Barman,TMC,87115,26134,12.2,10.54,214203,248022,86.36
2021,3,SUKUMAR ROY,BJP,MALE,52.0,SC,120483,BINAY KRISHNA BARMAN,TMC,105868,14615,5.99,5.16,243916,282988,86.19
2021,4,Nikhil Ranjan Dey,BJP,MALE,63.0,GENERAL,91560,Avijit De Bhowmik,TMC,86629,4931,2.52,2.11,195505,233839,83.61
2021,5,Baren Chandra Barman,BJP,MALE,47.0,SC,124955,Partha Pratim Ray,TMC,107140,17815,7.24,6.25,245966,285260,86.23
2021,6,JAGADISH CHANDRA BARMA BASUNIA,TMC,MALE,57.0,SC,117908,DIPAK KUMAR ROY,BJP,107796,10112,4.24,3.48,238578,290568,82.11
2021,7,NISITH PRAMANIK,BJP,MALE,35.0,SC,116035,UDAYAN GUHA,TMC,115978,57,0.02,0.02,243751,299251,81.45
2021,8,Mihir Goswami,BJP,MALE,67.0,GENERAL,111743,Rabindra Nath Ghosh,TMC,88303,23440,10.79,9.57,217173,245040,88.63
2021,9,Malati Rava Roy,BJP,FEMALE,56.0,SC,114503,Pranab Kumar Dey,TMC,83305,31198,14.9,13.31,209378,234311,89.36
2021,10,MANOJ KUMAR ORAON,BJP,MALE,41.0,ST,111974,LEOS KUJUR (URAO),TMC,100973,11001,4.73,4.03,232489,272924,85.18
2021,11,BISHAL LAMA,BJP,MALE,39.0,ST,103104,PASSANG LAMA,TMC,74528,28576,14.59,11.55,195815,247425,79.14
2021,12,SUMAN KANJILAL,BJP,MALE,50.0,GENERAL,107333,SOURAV CHAKRABORTY (GHUTIS),TMC,91326,16007,7.19,6.14,222732,260652,85.45
2021,13,DIPAK BARMAN,BJP,MALE,46.0,SC,102993,SUBHASH CHANDRA ROY,TMC,99003,3990,1.81,1.57,220500,254554,86.62
2021,14,MANOJ TIGGA,BJP,MALE,48.0,ST,90718,RAJESH LAKRA,TMC,61033,29685,17.78,13.96,166920,212651,78.49
2021,15,BISHNU PADA RAY,BJP,MALE,58.0,SC,104688,MITALI ROY,TMC,100333,4355,1.9,1.66,229323,263118,87.16
2021,16,Kaushik Roy,BJP,MALE,37.0,SC,115306,Manoj Roy,TMC,103395,11911,5.05,4.51,236093,264265,89.34
2021,17,DR. PRADIP KUMAR BARMA,TMC,MALE,66.0,SC,95668,SOUJIT SINGHA (PIKU),BJP,94727,941,0.42,0.36,225933,262500,86.07
2021,18,KHAGESWAR ROY,TMC,MALE,69.0,SC,104641,SUPEN ROY,BJP,88868,15773,7.31,6.46,215755,244163,88.37
2021,19,Sikha Chatterjee,BJP,FEMALE,68.0,GENERAL,129088,Goutam Deb,TMC,101495,27593,10.65,8.89,258969,310354,83.44
2021,20,BULU CHIK BARAIK,TMC,MALE,61.0,ST,99086,MAHESH BAGEY,BJP,93621,5465,2.56,2.14,213255,255570,83.44
2021,21,PUNA BHENGRA,BJP,MALE,46.0,ST,94722,JOSEPH MUNDA,TMC,71247,23475,12.28,9.89,191169,237305,80.56
2021,22,RUDEN SADA LEPCHA,IND,MALE,51.0,ST,58206,SUVA PRADHAN,BJP,54336,3870,2.5,1.83,154863,211896,73.08
2021,23,NEERAJ TAMANG ZIMBA,BJP,MALE,39.0,ST,68907,KESHAV RAJ SHARMA,IND,47631,21276,12.62,8.63,168575,246663,68.34
2021,24,Bishnu Prasad Sharma (alias B.P. Bajgain),BJP,MALE,52.0,GENERAL,73475,Tshering Lama,IND,57960,15515,8.84,6.56,175545,236477,74.23
2021,25,Anandamay Barman,BJP,MALE,38.0,SC,139785,Rajen Sundas,TMC,68937,70848,29.45,24.64,240591,287565,83.66
2021,26,Sankar Ghosh,BJP,MALE,48.0,GENERAL,89370,Dr. Omprakash Mishra,TMC,53784,35586,19.92,15.58,178650,228406,78.22
2021,27,Durga Murmu,BJP,MALE,42.0,ST,105651,Chhotan Kisku,TMC,77940,27711,13.35,11.52,207590,240496,86.32
2021,28,HAMIDUL RAHAMAN,TMC,MALE,61.0,GENERAL,124923,MD. SHAHIN AKHTER,BJP,60018,64905,31.8,26.2,204110,247764,82.38
2021,29,ABDUL KARIM CHOWDHARY,TMC,MALE,74.0,GENERAL,100131,SAUMYAROOP MANDAL,BJP,62691,37440,22.03,17.04,169974,219728,77.36
2021,30,MD. GHULAM RABBANI,TMC,MALE,51.0,GENERAL,105649,MD. GHULAM SARWAR,BJP,32135,73514,45.51,32.73,161535,224633,71.91
2021,31,AZAD MINHAJUL ARFIN,TMC,MALE,49.0,GENERAL,86311,SACHIN PRASAD,BJP,52474,33837,19.51,14.5,173400,233378,74.3
2021,32,GOUTAM PAUL,TMC,MALE,42.0,GENERAL,116594,SUBHAS CHANDRA SINHA S/O: HARANARAYAN SINHA,BJP,79968,36626,17.18,13.95,213136,262583,81.17
2021,33,SATYAJIT BARMAN,TMC,MALE,40.0,SC,116425,CHANDIMA ROY,BJP,89210,27215,12.19,10.26,223301,265318,84.16
2021,34,SOUMEN ROY,BJP,MALE,45.0,SC,116768,TAPAN DEB SINGHA,TMC,94948,21820,9.1,7.72,239726,282575,84.84
2021,35,KRISHNA KALYANI,BJP,MALE,42.0,GENERAL,79775,AGARWAL KANAIA LAL,TMC,59027,20748,12.86,10.44,161347,198780,81.17
2021,36,MOSARAF HUSSEN,TMC,MALE,40.0,GENERAL,114645,AMIT KUMAR KUNDU,BJP,70670,43975,22.67,19.17,193986,229362,84.58
2021,37,REKHA ROY,TMC,FEMALE,34.0,SC,89968,RANJIT KUMAR ROY,BJP,77384,12584,6.84,5.72,184075,219921,83.7
2021,38,TORAF HOSSAIN MANDAL,TMC,MALE,61.0,GENERAL,89763,Manas Sarkar,BJP,60396,29367,17.18,14.4,170928,203986,83.79
2021,39,Ashok Kumar Lahiri,BJP,MALE,69.0,GENERAL,72129,Sekhar Dasgupta,TMC,58693,13436,8.83,7.45,152092,180390,84.31
2021,40,BUDHRAI TUDU,BJP,MALE,48.0,ST,84381,KALPANA KISKU,TMC,82731,1650,0.89,0.75,186309,220236,84.6
2021,41,SATYENDRA NATH RAY,BJP,MALE,64.0,SC,88724,GOUTAM DAS,TMC,84132,4592,2.42,2.05,189482,224040,84.58
2021,42,BIPLAB MITRA,TMC,MALE,69.0,GENERAL,96131,NILANJAN ROY,BJP,73459,22672,12.08,9.94,187642,228189,82.23
2021,43,JOYEL MURMU,BJP,MALE,37.0,ST,94075,PRODIP BASKEY,TMC,74558,19517,9.86,7.82,197989,249557,79.34
2021,44,CHINMOY DEB BARMAN,BJP,MALE,37.0,SC,100655,BASANTI BARMAN,TMC,98857,1798,0.81,0.67,221214,267096,82.82
2021,45,Nihar Ranjan Ghosh,TMC,MALE,66.0,GENERAL,115966,Dipankar Ram (Bankat),BJP,48628,67338,33.72,27.0,199679,249402,80.06
2021,46,TAJMUL HOSSAIN,TMC,MALE,63.0,GENERAL,122527,MD. MATIBUR RAHAMAN,BJP,45054,77473,38.14,30.68,203153,252487,80.46
2021,47,ABDUR RAHIM BOXI,TMC,MALE,57.0,GENERAL,126157,MOUSUMI DAS,BJP,34208,91949,49.57,39.65,185484,231907,79.98
2021,48,Samar Mukherjee,TMC,MALE,79.0,GENERAL,130674,Abishek Singhania,BJP,55024,75650,34.52,26.78,219148,282451,77.59
2021,49,SABITRI MITRA,TMC,FEMALE,60.0,GENERAL,110234,GOUR CHANDRA MANDAL,BJP,76356,33878,16.37,13.37,206991,253353,81.7
2021,50,Gopal Chandra Saha,BJP,MALE,44.0,SC,93398,Ujjwal Kumar Chowdhury,TMC,77942,15456,7.49,6.28,206489,245962,83.95
2021,51,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),BJP,FEMALE,56.0,GENERAL,107755,KRISHNENDU NARAYAN CHOUDHURY,TMC,87656,20099,9.32,7.3,215675,275296,78.34
