ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,tmc_votes_2021,tmc_votes_2026,bjp_votes_2021,bjp_votes_2026,other_votes_2021,other_votes_2026,total_votes_2021,total_votes_2026,roll_change_pct,turnout_change_pts,outcome,flipped
1,MEKLIGANJ,Cooch Behar,North Bengal,SC,TMC,BJP,ADHIKARY PARESH CHANDRA,Dadhiram Ray,14685,29584.0,7.39,13.52,226465,224781.0,87.76,97.37,99338.0,89525.0,84653.0,119109.0,12306.0,8099.0,196297.0,216733.0,-0.74,9.61,TMC to BJP,Flipped
2,MATHABHANGA,Cooch Behar,North Bengal,SC,BJP,BJP,Sushil Barman,Nishith Pramanik,26134,57090.0,12.2,23.61,248022,249135.0,86.36,97.07,87115.0,86250.0,113249.0,143340.0,12396.0,11342.0,212760.0,240932.0,0.45,10.71,Held,Held
3,COOCHBEHAR UTTAR,Cooch Behar,North Bengal,SC,BJP,BJP,SUKUMAR ROY,Sukumar Ray,14615,70384.0,5.99,27.69,282988,264197.0,86.19,96.21,105868.0,84943.0,120483.0,155327.0,15995.0,12086.0,242346.0,252356.0,-6.64,10.02,Held,Held
4,COOCHBEHAR DAKSHIN,Cooch Behar,North Bengal,GEN,BJP,BJP,Nikhil Ranjan Dey,Rathindra Bose,4931,23284.0,2.52,11.34,233839,214440.0,83.61,95.79,86629.0,85198.0,91560.0,108482.0,15852.0,9963.0,194041.0,203643.0,-8.3,12.18,Held,Held
5,SITALKUCHI,Cooch Behar,North Bengal,SC,BJP,BJP,Baren Chandra Barman,Sabitri Barman,17815,25278.0,7.24,9.03,285260,285874.0,86.23,97.88,107140.0,119089.0,124955.0,144367.0,11128.0,14712.0,243223.0,278168.0,0.22,11.65,Held,Held
6,SITAI,Cooch Behar,North Bengal,SC,TMC,TMC,JAGADISH CHANDRA BARMA BASUNIA,Sangita Roy,10112,2721.0,4.24,1.03,290568,273362.0,82.11,97.06,117908.0,128188.0,107796.0,125467.0,11297.0,10340.0,237001.0,263995.0,-5.92,14.95,Held,Held
7,DINHATA,Cooch Behar,North Bengal,GEN,BJP,BJP,NISITH PRAMANIK,Ajay Ray,57,17447.0,0.02,6.51,299251,278074.0,81.45,96.35,115978.0,120808.0,116035.0,138255.0,10201.0,7048.0,242214.0,266111.0,-7.08,14.9,Held,Held
8,NATABARI,Cooch Behar,North Bengal,GEN,BJP,BJP,Mihir Goswami,Girija Shankar Ray,23440,34613.0,10.79,14.87,245040,240383.0,88.63,96.81,88303.0,92298.0,111743.0,126911.0,15981.0,12394.0,216027.0,231603.0,-1.9,8.18,Held,Held
9,TUFANGANJ,Cooch Behar,North Bengal,GEN,BJP,BJP,Malati Rava Roy,Malati Rava Roy,31198,26457.0,14.9,11.46,234311,238111.0,89.36,96.94,83305.0,96068.0,114503.0,122525.0,9501.0,10815.0,207309.0,229408.0,1.62,7.58,Held,Held
10,KUMARGRAM,Alipurduar,North Bengal,ST,BJP,BJP,MANOJ KUMAR ORAON,Manoj Kumar Oraon,11001,52877.0,4.73,21.42,272924,260288.0,85.18,94.83,100973.0,90167.0,111974.0,143044.0,16824.0,10692.0,229771.0,243903.0,-4.63,9.65,Held,Held
11,KALCHINI,Alipurduar,North Bengal,ST,BJP,BJP,BISHAL LAMA,Bishal Lama,28576,37843.0,14.59,18.68,247425,222332.0,79.14,91.13,74528.0,76916.0,103104.0,114759.0,15806.0,9137.0,193438.0,200812.0,-10.14,11.99,Held,Held
12,ALIPURDUARS,Alipurduar,North Bengal,GEN,BJP,BJP,SUMAN KANJILAL,Paritosh Das,16007,70420.0,7.19,30.29,260652,245304.0,85.45,94.77,91326.0,72822.0,107333.0,143242.0,22092.0,13782.0,220751.0,229846.0,-5.89,9.32,Held,Held
13,FALAKATA,Alipurduar,North Bengal,SC,BJP,BJP,DIPAK BARMAN,Dipak Barman,3990,45999.0,1.81,19.49,254554,245799.0,86.62,95.99,99003.0,88371.0,102993.0,134370.0,16534.0,11780.0,218530.0,234521.0,-3.44,9.37,Held,Held
14,MADARIHAT,Alipurduar,North Bengal,ST,BJP,BJP,MANOJ TIGGA,Laxuman Limbu,29685,40910.0,17.78,23.15,212651,194663.0,78.49,90.8,61033.0,61578.0,90718.0,102488.0,12547.0,10807.0,164298.0,174873.0,-8.46,12.31,Held,Held
15,DHUPGURI,Jalpaiguri,North Bengal,SC,BJP,BJP,BISHNU PADA RAY,Naresh Roy,4355,38550.0,1.9,15.51,263118,258677.0,87.16,96.06,100333.0,96248.0,104688.0,134798.0,22318.0,16291.0,227339.0,247337.0,-1.69,8.9,Held,Held
16,MAYNAGURI,Jalpaiguri,North Bengal,SC,BJP,BJP,Kaushik Roy,Dalim Chandra Roy,11911,56503.0,5.05,22.47,264265,259205.0,89.34,97.01,103395.0,90900.0,115306.0,147403.0,14297.0,11014.0,232998.0,249317.0,-1.91,7.67,Held,Held
17,JALPAIGURI,Jalpaiguri,North Bengal,SC,TMC,BJP,DR. PRADIP KUMAR BARMA,Ananta Deb Adhikary,941,68805.0,0.42,28.93,262500,251217.0,86.07,94.68,95668.0,74182.0,94727.0,142987.0,32157.0,18079.0,222552.0,235248.0,-4.3,8.61,TMC to BJP,Flipped
18,RAJGANJ,Jalpaiguri,North Bengal,SC,TMC,BJP,KHAGESWAR ROY,Dinesh Sarkar,15773,21477.0,7.31,9.57,244163,231186.0,88.37,97.06,104641.0,93180.0,88868.0,114657.0,19071.0,15220.0,212580.0,223057.0,-5.31,8.69,TMC to BJP,Flipped
19,DABGRAM-FULBARI,Jalpaiguri,North Bengal,GEN,BJP,BJP,Sikha Chatterjee,Sikha Chatterjee,27593,97715.0,10.65,38.79,310354,264767.0,83.44,95.14,101495.0,68585.0,129088.0,166300.0,25007.0,15883.0,255590.0,250768.0,-14.69,11.7,Held,Held
