region,year,tmc_share,bjp_share,seats
Hooghly & Purba Medinipur,2021,47.47,43.66,34
Hooghly & Purba Medinipur,2026,41.66,51.1,34
Jangalmahal,2021,46.01,42.26,40
Jangalmahal,2026,40.17,52.25,40
Kolkata & Howrah,2021,54.02,34.28,27
Kolkata & Howrah,2026,47.77,43.18,27
Murshidabad-Nadia,2021,50.02,32.52,39
Murshidabad-Nadia,2026,35.71,38.04,39
North 24 Parganas,2021,49.07,34.75,33
North 24 Parganas,2026,40.72,44.38,33
North Bengal,2021,45.01,42.74,54
North Bengal,2026,38.25,49.76,54
Rarh Bengal,2021,48.78,40.51,36
Rarh Bengal,2026,41.8,47.48,36
South 24 Parganas,2021,52.33,31.81,31
South 24 Parganas,2026,48.06,38.97,30
