ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,roll_change_pct,turnout_change_pts,outcome
1,MEKLIGANJ,Cooch Behar,North Bengal,SC,TMC,BJP,ADHIKARY PARESH CHANDRA,Dadhiram Ray,14685,29584.0,7.39,13.52,226465,224781.0,87.76,97.37,-0.74,9.61,TMC to BJP
2,MATHABHANGA,Cooch Behar,North Bengal,SC,BJP,BJP,Sushil Barman,Nishith Pramanik,26134,57090.0,12.2,23.61,248022,249135.0,86.36,97.07,0.45,10.71,Held
3,COOCHBEHAR UTTAR,Cooch Behar,North Bengal,SC,BJP,BJP,SUKUMAR ROY,Sukumar Ray,14615,70384.0,5.99,27.69,282988,264197.0,86.19,96.21,-6.64,10.02,Held
4,COOCHBEHAR DAKSHIN,Cooch Behar,North Bengal,GEN,BJP,BJP,Nikhil Ranjan Dey,Rathindra Bose,4931,23284.0,2.52,11.34,233839,214440.0,83.61,95.79,-8.3,12.18,Held
5,SITALKUCHI,Cooch Behar,North Bengal,SC,BJP,BJP,Baren Chandra Barman,Sabitri Barman,17815,25278.0,7.24,9.03,285260,285874.0,86.23,97.88,0.22,11.65,Held
6,SITAI,Cooch Behar,North Bengal,SC,TMC,TMC,JAGADISH CHANDRA BARMA BASUNIA,Sangita Roy,10112,2721.0,4.24,1.03,290568,273362.0,82.11,97.06,-5.92,14.95,Held
7,DINHATA,Cooch Behar,North Bengal,GEN,BJP,BJP,NISITH PRAMANIK,Ajay Ray,57,17447.0,0.02,6.51,299251,278074.0,81.45,96.35,-7.08,14.9,Held
8,NATABARI,Cooch Behar,North Bengal,GEN,BJP,BJP,Mihir Goswami,Girija Shankar Ray,23440,34613.0,10.79,14.87,245040,240383.0,88.63,96.81,-1.9,8.18,Held
9,TUFANGANJ,Cooch Behar,North Bengal,GEN,BJP,BJP,Malati Rava Roy,Malati Rava Roy,31198,26457.0,14.9,11.46,234311,238111.0,89.36,96.94,1.62,7.58,Held
10,KUMARGRAM,Alipurduar,North Bengal,ST,BJP,BJP,MANOJ KUMAR ORAON,Manoj Kumar Oraon,11001,52877.0,4.73,21.42,272924,260288.0,85.18,94.83,-4.63,9.65,Held
11,KALCHINI,Alipurduar,North Bengal,ST,BJP,BJP,BISHAL LAMA,Bishal Lama,28576,37843.0,14.59,18.68,247425,222332.0,79.14,91.13,-10.14,11.99,Held
12,ALIPURDUARS,Alipurduar,North Bengal,GEN,BJP,BJP,SUMAN KANJILAL,Paritosh Das,16007,70420.0,7.19,30.29,260652,245304.0,85.45,94.77,-5.89,9.32,Held
13,FALAKATA,Alipurduar,North Bengal,SC,BJP,BJP,DIPAK BARMAN,Dipak Barman,3990,45999.0,1.81,19.49,254554,245799.0,86.62,95.99,-3.44,9.37,Held
14,MADARIHAT,Alipurduar,North Bengal,ST,BJP,BJP,MANOJ TIGGA,Laxuman Limbu,29685,40910.0,17.78,23.15,212651,194663.0,78.49,90.8,-8.46,12.31,Held
15,DHUPGURI,Jalpaiguri,North Bengal,SC,BJP,BJP,BISHNU PADA RAY,Naresh Roy,4355,38550.0,1.9,15.51,263118,258677.0,87.16,96.06,-1.69,8.9,Held
16,MAYNAGURI,Jalpaiguri,North Bengal,SC,BJP,BJP,Kaushik Roy,Dalim Chandra Roy,11911,56503.0,5.05,22.47,264265,259205.0,89.34,97.01,-1.91,7.67,Held
17,JALPAIGURI,Jalpaiguri,North Bengal,SC,TMC,BJP,DR. PRADIP KUMAR BARMA,Ananta Deb Adhikary,941,68805.0,0.42,28.93,262500,251217.0,86.07,94.68,-4.3,8.61,TMC to BJP
18,RAJGANJ,Jalpaiguri,North Bengal,SC,TMC,BJP,KHAGESWAR ROY,Dinesh Sarkar,15773,21477.0,7.31,9.57,244163,231186.0,88.37,97.06,-5.31,8.69,TMC to BJP
19,DABGRAM-FULBARI,Jalpaiguri,North Bengal,GEN,BJP,BJP,Sikha Chatterjee,Sikha Chatterjee,27593,97715.0,10.65,38.79,310354,264767.0,83.44,95.14,-14.69,11.7,Held
20,MAL,Jalpaiguri,North Bengal,ST,TMC,BJP,BULU CHIK BARAIK,Sukra Munda,5465,15492.0,2.56,6.9,255570,238092.0,83.44,94.27,-6.84,10.83,TMC to BJP
21,NAGRAKATA,Jalpaiguri,North Bengal,ST,BJP,BJP,PUNA BHENGRA,Puna Bhengra,23475,25858.0,12.28,12.68,237305,220932.0,80.56,92.32,-6.9,11.76,Held
22,KALIMPONG,Kalimpong,North Bengal,GEN,IND,BJP,RUDEN SADA LEPCHA,Bharat Kumar Chetri,3870,21464.0,2.5,12.66,211896,203506.0,73.08,83.28,-3.96,10.2,IND to BJP
23,DARJEELING,Darjeeling,North Bengal,GEN,BJP,BJP,NEERAJ TAMANG ZIMBA,Noman Rai,21276,6057.0,12.62,3.48,246663,210995.0,68.34,82.37,-14.46,14.03,Held
24,KURSEONG,Darjeeling,North Bengal,GEN,BJP,BJP,Bishnu Prasad Sharma (alias B.P. Bajgain),Sonam Lama,15515,17007.0,8.84,9.35,236477,218103.0,74.23,83.37,-7.77,9.14,Held
25,MATIGARA-NAXALBARI,Darjeeling,North Bengal,SC,BJP,BJP,Anandamay Barman,Anandamay Barman,70848,104265.0,29.45,41.54,287565,270154.0,83.66,92.9,-6.05,9.24,Held
26,SILIGURI,Darjeeling,North Bengal,GEN,BJP,BJP,Sankar Ghosh,Shankar Ghosh,35586,73192.0,19.92,39.87,228406,201008.0,78.22,91.33,-12.0,13.11,Held
27,PHANSIDEWA,Darjeeling,North Bengal,ST,BJP,BJP,Durga Murmu,Durga Murmu,27711,45263.0,13.35,21.79,240496,217918.0,86.32,95.33,-9.39,9.01,Held
28,CHOPRA,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,HAMIDUL RAHAMAN,Hamidul Rahaman,64905,69124.0,31.8,32.73,247764,219393.0,82.38,96.25,-11.45,13.87,Held
29,ISLAMPUR,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,ABDUL KARIM CHOWDHARY,Agarwal Kanaia Lal,37440,40063.0,22.03,21.54,219728,202385.0,77.36,91.88,-7.89,14.52,Held
30,GOALPOKHAR,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,MD. GHULAM RABBANI,Md Ghulam Rabbani,73514,83790.0,45.51,45.74,224633,199566.0,71.91,91.79,-11.16,19.88,Held
31,CHAKULIA,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,AZAD MINHAJUL ARFIN,Azad Minhajul Arfin,33837,28011.0,19.51,14.07,233378,216163.0,74.3,92.12,-7.38,17.82,Held
32,KARANDIGHI,Uttar Dinajpur,North Bengal,GEN,TMC,BJP,GOUTAM PAUL,Biraj Biswas,36626,19869.0,17.18,9.03,262583,231680.0,81.17,94.95,-11.77,13.78,TMC to BJP
33,HEMTABAD,Uttar Dinajpur,North Bengal,SC,TMC,BJP,SATYAJIT BARMAN,Haripada Barman,27215,12361.0,12.19,5.16,265318,246863.0,84.16,96.97,-6.96,12.81,TMC to BJP
34,KALIAGANJ,Uttar Dinajpur,North Bengal,SC,BJP,BJP,SOUMEN ROY,Utpal Brahmacharo,21820,76425.0,9.1,29.6,282575,268580.0,84.84,96.14,-4.95,11.3,Held
35,RAIGANJ,Uttar Dinajpur,North Bengal,GEN,BJP,BJP,KRISHNA KALYANI,Koushik Chowdhury,20748,58641.0,12.86,35.58,198780,174464.0,81.17,94.46,-12.23,13.29,Held
36,ITAHAR,Uttar Dinajpur,North Bengal,GEN,TMC,TMC,MOSARAF HUSSEN,Mosaraf Hussen,43975,27878.0,22.67,13.66,229362,211669.0,84.58,96.45,-7.71,11.87,Held
37,KUSHMANDI,Dakshin Dinajpur,North Bengal,SC,TMC,BJP,REKHA ROY,Tapas Chandra Roy,12584,9063.0,6.84,4.54,219921,206031.0,83.7,96.84,-6.32,13.14,TMC to BJP
38,KUMARGANJ,Dakshin Dinajpur,North Bengal,GEN,TMC,TMC,TORAF HOSSAIN MANDAL,Toraf Hossain Mandal,29367,6685.0,17.18,3.84,203986,180629.0,83.79,96.26,-11.45,12.47,Held
39,BALURGHAT,Dakshin Dinajpur,North Bengal,GEN,BJP,BJP,Ashok Kumar Lahiri,Bidyut Kumar Roy,13436,47576.0,8.83,30.06,180390,167310.0,84.31,94.61,-7.25,10.3,Held
40,TAPAN,Dakshin Dinajpur,North Bengal,ST,BJP,BJP,BUDHRAI TUDU,Budhrai Tudu,1650,36987.0,0.89,19.81,220236,195260.0,84.6,95.62,-11.34,11.02,Held
41,GANGARAMPUR,Dakshin Dinajpur,North Bengal,SC,BJP,BJP,SATYENDRA NATH RAY,Satyendra Nath Roy,4592,28339.0,2.42,14.7,224040,200464.0,84.58,96.19,-10.52,11.61,Held
42,HARIRAMPUR,Dakshin Dinajpur,North Bengal,GEN,TMC,TMC,BIPLAB MITRA,Biplab Mitra,22672,1986.0,12.08,0.97,228189,211506.0,82.23,96.49,-7.31,14.26,Held
