ac_no,district,region
1,Cooch Behar,North Bengal
2,Cooch Behar,North Bengal
3,Cooch Behar,North Bengal
4,Cooch Behar,North Bengal
5,Cooch Behar,North Bengal
6,Cooch Behar,North Bengal
7,Cooch Behar,North Bengal
8,Cooch Behar,North Bengal
9,Cooch Behar,North Bengal
10,Alipurduar,North Bengal
11,Alipurduar,North Bengal
12,Alipurduar,North Bengal
13,Alipurduar,North Bengal
14,Alipurduar,North Bengal
15,Jalpaiguri,North Bengal
16,Jalpaiguri,North Bengal
17,Jalpaiguri,North Bengal
18,Jalpaiguri,North Bengal
19,Jalpaiguri,North Bengal
20,Jalpaiguri,North Bengal
21,Jalpaiguri,North Bengal
22,Kalimpong,North Bengal
23,Darjeeling,North Bengal
24,Darjeeling,North Bengal
25,Darjeeling,North Bengal
26,Darjeeling,North Bengal
27,Darjeeling,North Bengal
28,Uttar Dinajpur,North Bengal
29,Uttar Dinajpur,North Bengal
30,Uttar Dinajpur,North Bengal
31,Uttar Dinajpur,North Bengal
32,Uttar Dinajpur,North Bengal
33,Uttar Dinajpur,North Bengal
34,Uttar Dinajpur,North Bengal
35,Uttar Dinajpur,North Bengal
36,Uttar Dinajpur,North Bengal
37,Dakshin Dinajpur,North Bengal
38,Dakshin Dinajpur,North Bengal
39,Dakshin Dinajpur,North Bengal
40,Dakshin Dinajpur,North Bengal
41,Dakshin Dinajpur,North Bengal
42,Dakshin Dinajpur,North Bengal
43,Malda,North Bengal
44,Malda,North Bengal
45,Malda,North Bengal
46,Malda,North Bengal
47,Malda,North Bengal
48,Malda,North Bengal
49,Malda,North Bengal
50,Malda,North Bengal
51,Malda,North Bengal
52,Malda,North Bengal
53,Malda,North Bengal
54,Malda,North Bengal
55,Murshidabad,Murshidabad-Nadia
56,Murshidabad,Murshidabad-Nadia
57,Murshidabad,Murshidabad-Nadia
58,Murshidabad,Murshidabad-Nadia
59,Murshidabad,Murshidabad-Nadia
60,Murshidabad,Murshidabad-Nadia
61,Murshidabad,Murshidabad-Nadia
62,Murshidabad,Murshidabad-Nadia
63,Murshidabad,Murshidabad-Nadia
64,Murshidabad,Murshidabad-Nadia
65,Murshidabad,Murshidabad-Nadia
66,Murshidabad,Murshidabad-Nadia
67,Murshidabad,Murshidabad-Nadia
68,Murshidabad,Murshidabad-Nadia
69,Murshidabad,Murshidabad-Nadia
70,Murshidabad,Murshidabad-Nadia
71,Murshidabad,Murshidabad-Nadia
72,Murshidabad,Murshidabad-Nadia
73,Murshidabad,Murshidabad-Nadia
74,Murshidabad,Murshidabad-Nadia
75,Murshidabad,Murshidabad-Nadia
76,Murshidabad,Murshidabad-Nadia
77,Nadia,Murshidabad-Nadia
78,Nadia,Murshidabad-Nadia
79,Nadia,Murshidabad-Nadia
80,Nadia,Murshidabad-Nadia
81,Nadia,Murshidabad-Nadia
82,Nadia,Murshidabad-Nadia
83,Nadia,Murshidabad-Nadia
84,Nadia,Murshidabad-Nadia
85,Nadia,Murshidabad-Nadia
86,Nadia,Murshidabad-Nadia
87,Nadia,Murshidabad-Nadia
88,Nadia,Murshidabad-Nadia
89,Nadia,Murshidabad-Nadia
90,Nadia,Murshidabad-Nadia
91,Nadia,Murshidabad-Nadia
92,Nadia,Murshidabad-Nadia
93,Nadia,Murshidabad-Nadia
94,North 24 Parganas,North 24 Parganas
95,North 24 Parganas,North 24 Parganas
96,North 24 Parganas,North 24 Parganas
97,North 24 Parganas,North 24 Parganas
98,North 24 Parganas,North 24 Parganas
99,North 24 Parganas,North 24 Parganas
100,North 24 Parganas,North 24 Parganas
101,North 24 Parganas,North 24 Parganas
102,North 24 Parganas,North 24 Parganas
103,North 24 Parganas,North 24 Parganas
104,North 24 Parganas,North 24 Parganas
105,North 24 Parganas,North 24 Parganas
106,North 24 Parganas,North 24 Parganas
107,North 24 Parganas,North 24 Parganas
108,North 24 Parganas,North 24 Parganas
109,North 24 Parganas,North 24 Parganas
110,North 24 Parganas,North 24 Parganas
111,North 24 Parganas,North 24 Parganas
112,North 24 Parganas,North 24 Parganas
113,North 24 Parganas,North 24 Parganas
114,North 24 Parganas,North 24 Parganas
115,North 24 Parganas,North 24 Parganas
