state,ac_no,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year
West Bengal,1,MEKLIGANJ (SC),Dadhiram Ray,MALE,43.0,SC,BJP,118185,924,119109,54.42,224781,2026
West Bengal,1,MEKLIGANJ (SC),Adhikary Paresh Chandra,MALE,74.0,SC,TMC,89062,463,89525,40.91,224781,2026
West Bengal,1,MEKLIGANJ (SC),Kamal Kumar Roy,MALE,61.0,SC,AIFB,2345,41,2386,1.09,224781,2026
West Bengal,1,MEKLIGANJ (SC),Nota,,,,NOTA,2112,14,2126,0.97,224781,2026
West Bengal,1,MEKLIGANJ (SC),Hiten Barman,MALE,57.0,SC,SUCI,1383,9,1392,0.64,224781,2026
West Bengal,1,MEKLIGANJ (SC),Ila Rani Roy,FEMALE,55.0,SC,INC,1276,12,1288,0.59,224781,2026
West Bengal,1,MEKLIGANJ (SC),Hiranmay Deb Singha,MALE,33.0,SC,IND,978,1,979,0.45,224781,2026
West Bengal,1,MEKLIGANJ (SC),Purnendu Roy,MALE,48.0,SC,IND,897,3,900,0.41,224781,2026
West Bengal,1,MEKLIGANJ (SC),Golapi Roy,FEMALE,39.0,SC,IND,426,1,427,0.2,224781,2026
West Bengal,1,MEKLIGANJ (SC),Manoj Kumar Ray,MALE,35.0,SC,IND,276,2,278,0.13,224781,2026
West Bengal,1,MEKLIGANJ (SC),Krishna Barman,MALE,42.0,SC,IND,231,0,231,0.11,224781,2026
West Bengal,1,MEKLIGANJ (SC),Kirttiram Barman,MALE,33.0,SC,IND,215,3,218,0.1,224781,2026
West Bengal,2,MATHABHANGA (SC),Nishith Pramanik,MALE,40.0,SC,BJP,142057,1283,143340,59.27,249135,2026
West Bengal,2,MATHABHANGA (SC),Dr. Sablu Barman,MALE,42.0,SC,TMC,85735,515,86250,35.66,249135,2026
West Bengal,2,MATHABHANGA (SC),Khagen Chandra Barman,MALE,62.0,SC,CPI(M),3945,85,4030,1.67,249135,2026
West Bengal,2,MATHABHANGA (SC),Dr. Harekrishna Sarkar,MALE,54.0,SC,IND,1164,4,1168,0.48,249135,2026
West Bengal,2,MATHABHANGA (SC),Kshitendra Nath Barman,MALE,69.0,SC,INC,1110,8,1118,0.46,249135,2026
West Bengal,2,MATHABHANGA (SC),Mritunjoy Biswas,MALE,36.0,SC,BSP,1096,1,1097,0.45,249135,2026
West Bengal,2,MATHABHANGA (SC),Nota,,,,NOTA,899,14,913,0.38,249135,2026
West Bengal,2,MATHABHANGA (SC),Mihir Sarkar,MALE,45.0,SC,IND,882,1,883,0.37,249135,2026
West Bengal,2,MATHABHANGA (SC),Premananda Barman,MALE,54.0,SC,KPPU,753,2,755,0.31,249135,2026
West Bengal,2,MATHABHANGA (SC),Provakar Roy,MALE,29.0,SC,IND,678,6,684,0.28,249135,2026
West Bengal,2,MATHABHANGA (SC),Haradhan Roy,MALE,39.0,SC,IND,464,1,465,0.19,249135,2026
West Bengal,2,MATHABHANGA (SC),Bikash Barman,MALE,40.0,SC,SUCI,336,1,337,0.14,249135,2026
West Bengal,2,MATHABHANGA (SC),Kangsa Raj Barman,MALE,56.0,SC,IND,324,1,325,0.13,249135,2026
West Bengal,2,MATHABHANGA (SC),Goutam Barman,MALE,39.0,SC,IND,287,1,288,0.12,249135,2026
West Bengal,2,MATHABHANGA (SC),Subodh Barman,MALE,69.0,SC,AMB,192,0,192,0.08,249135,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Sukumar Ray,MALE,57.0,SC,BJP,153169,2158,155327,61.11,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Partha Pratim Ray,MALE,44.0,SC,TMC,84168,775,84943,33.42,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Pranay Karjee,MALE,31.0,SC,CPI(M),5182,111,5293,2.08,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Partha Pratim Ishor,MALE,59.0,SC,INC,1912,27,1939,0.76,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Nota,,,,NOTA,1796,23,1819,0.72,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Panchanan Roy,MALE,69.0,SC,IND,955,6,961,0.38,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Sukumar Roy,MALE,43.0,SC,IND,886,9,895,0.35,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Upendra Nath Basunia,MALE,67.0,SC,AMB,871,3,874,0.34,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Sukumar Roy,MALE,42.0,SC,IND,801,4,805,0.32,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Naresh Chandra Roy,MALE,53.0,SC,IND,402,1,403,0.16,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Swapan Kumar Barman,MALE,46.0,SC,SUCI,379,9,388,0.15,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Uttam Barman,MALE,37.0,SC,IND,294,13,307,0.12,264197,2026
West Bengal,3,COOCHBEHAR UTTAR (SC),Nirmal Kumar Roy,MALE,71.0,SC,KPPU,210,11,221,0.09,264197,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Rathindra Bose,MALE,65.0,GENERAL,BJP,106787,1695,108482,52.81,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Avijit De Bhowmik,MALE,51.0,GENERAL,TMC,84428,770,85198,41.48,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Nazmul Alom Sarkar,MALE,41.0,GENERAL,AIFB,3025,112,3137,1.53,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Khokan Miah,MALE,52.0,GENERAL,INC,2926,45,2971,1.45,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Nota,,,,NOTA,1743,27,1770,0.86,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Surath Kumar Hom Roy,MALE,42.0,GENERAL,IND,575,0,575,0.28,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Bhaskar Jyoti Dutta,MALE,51.0,GENERAL,BSP,555,6,561,0.27,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Ranjit Sarkar,MALE,36.0,GENERAL,IND,502,0,502,0.24,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Bidhan Barma,MALE,45.0,SC,KPPU,465,6,471,0.23,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Suman Pandit,MALE,47.0,GENERAL,SUCI,395,5,400,0.19,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Santosh Barman,MALE,33.0,SC,IND,336,0,336,0.16,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Ananta Barman,MALE,29.0,SC,IND,250,9,259,0.13,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Koushik Bhattacharjee,MALE,43.0,GENERAL,IND,243,2,245,0.12,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Rashidul Alam,MALE,40.0,GENERAL,IND,194,2,196,0.1,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Haridas Modak,MALE,67.0,GENERAL,AMB,182,3,185,0.09,214440,2026
West Bengal,4,COOCHBEHAR DAKSHIN,Abhijit Dey,MALE,42.0,GENERAL,IND,124,1,125,0.06,214440,2026
West Bengal,5,SITALKUCHI (SC),Sabitri Barman,FEMALE,53.0,SC,BJP,143605,762,144367,51.59,285874,2026
West Bengal,5,SITALKUCHI (SC),Harihar Das,MALE,41.0,SC,TMC,118605,484,119089,42.56,285874,2026
West Bengal,5,SITALKUCHI (SC),Namadipti Roy Adhikary,FEMALE,55.0,SC,CPI(M),3931,48,3979,1.42,285874,2026
