ac_no,state,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year,runner_up_votes,runner_up_candidate,runner_up_party,win_margin,win_margin_pct
1,West Bengal,MEKLIGANJ (SC),Dadhiram Ray,MALE,43.0,SC,BJP,118185,924,119109,54.42,224781,2026,89525,Adhikary Paresh Chandra,TMC,29584,13.16
2,West Bengal,MATHABHANGA (SC),Nishith Pramanik,MALE,40.0,SC,BJP,142057,1283,143340,59.27,249135,2026,86250,Dr. Sablu Barman,TMC,57090,22.92
3,West Bengal,COOCHBEHAR UTTAR (SC),Sukumar Ray,MALE,57.0,SC,BJP,153169,2158,155327,61.11,264197,2026,84943,Partha Pratim Ray,TMC,70384,26.64
4,West Bengal,COOCHBEHAR DAKSHIN,Rathindra Bose,MALE,65.0,GENERAL,BJP,106787,1695,108482,52.81,214440,2026,85198,Avijit De Bhowmik,TMC,23284,10.86
5,West Bengal,SITALKUCHI (SC),Sabitri Barman,FEMALE,53.0,SC,BJP,143605,762,144367,51.59,285874,2026,119089,Harihar Das,TMC,25278,8.84
6,West Bengal,SITAI (SC),Sangita Roy,FEMALE,54.0,SC,TMC,127382,806,128188,48.31,273362,2026,125467,Ashutosh Barma,BJP,2721,1.0
7,West Bengal,DINHATA,Ajay Ray,MALE,48.0,GENERAL,BJP,136795,1460,138255,51.6,278074,2026,120808,Udayan Guha,TMC,17447,6.27
8,West Bengal,NATABARI,Girija Shankar Ray,MALE,54.0,SC,BJP,125600,1311,126911,54.53,240383,2026,92298,Sailendra Nath Barma,TMC,34613,14.4
9,West Bengal,TUFANGANJ,Malati Rava Roy,FEMALE,62.0,SC,BJP,121146,1379,122525,53.08,238111,2026,96068,Shibsankar Paul,TMC,26457,11.11
10,West Bengal,KUMARGRAM (ST),Manoj Kumar Oraon,MALE,46.0,ST,BJP,141540,1504,143044,57.95,260288,2026,90167,Rajeev Tirkey,TMC,52877,20.31
11,West Bengal,KALCHINI (ST),Bishal Lama,MALE,44.0,ST,BJP,113928,831,114759,56.64,222332,2026,76916,Birendra Bara (oraon),TMC,37843,17.02
12,West Bengal,ALIPURDUARS,Paritosh Das,MALE,60.0,GENERAL,BJP,141407,1835,143242,61.62,245304,2026,72822,Suman Kanjilal,TMC,70420,28.71
13,West Bengal,FALAKATA (SC),Dipak Barman,MALE,52.0,SC,BJP,133209,1161,134370,56.95,245799,2026,88371,Subhash Chandra Roy,TMC,45999,18.71
14,West Bengal,MADARIHAT (ST),Laxuman Limbu,MALE,53.0,ST,BJP,101864,624,102488,57.98,194663,2026,61578,Jayprakash Toppo,TMC,40910,21.02
